EmpID,Department,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,StandardHours,OverTime,SalarySlab,DistanceFromHome,BusinessTravel,PercentSalaryHike
RM297,Research & Development,1420,25233,230,54,80,No,Upto 5k,3,Travel_Rarely,13
RM302,Sales,1200,9724,812,69,80,No,Upto 5k,10,Travel_Rarely,12
RM458,Sales,1878,8059,1306,69,80,Yes,Upto 5k,5,Travel_Frequently,14
RM728,Research & Development,1051,13493,287,73,80,No,Upto 5k,5,Non-Travel,15
RM829,Research & Development,1904,13556,247,80,80,No,Upto 5k,8,Non-Travel,12
RM973,Research & Development,1611,19305,1124,97,80,No,Upto 5k,1,Non-Travel,15
RM1154,Sales,1569,18420,544,70,80,Yes,Upto 5k,3,Travel_Frequently,12
RM1312,Research & Development,1514,8018,1431,33,80,No,Upto 5k,14,Non-Travel,16
RM128,Sales,1675,26820,528,50,80,Yes,Upto 5k,22,Travel_Rarely,19
RM150,Research & Development,1483,16102,1181,79,80,No,Upto 5k,3,Travel_Rarely,14
RM172,Sales,2325,20989,602,100,80,No,Upto 5k,1,Travel_Frequently,21
RM178,Research & Development,1102,9241,303,47,80,No,Upto 5k,2,Travel_Rarely,22
RM423,Human Resources,2564,18437,489,52,80,No,Upto 5k,2,Travel_Rarely,12
RM689,Sales,2121,9947,419,37,80,Yes,Upto 5k,21,Travel_Rarely,13
RM854,Research & Development,2552,7172,645,54,80,No,Upto 5k,9,Travel_Rarely,25
RM893,Research & Development,1859,6148,504,96,80,Yes,Upto 5k,10,Non-Travel,25
RM910,Research & Development,2994,21221,265,57,80,Yes,Upto 5k,25,Travel_Rarely,12
RM103,Research & Development,2926,19783,871,66,80,Yes,Upto 5k,6,Travel_Frequently,18
RM488,Research & Development,2836,11757,959,83,80,No,Upto 5k,1,Travel_Rarely,13
RM514,Research & Development,1009,26999,1362,32,80,Yes,Upto 5k,10,Travel_Rarely,11
RM663,Sales,2044,22052,500,49,80,No,Upto 5k,2,Travel_Rarely,13
RM690,Research & Development,2973,13008,129,84,80,No,Upto 5k,4,Travel_Rarely,19
RM732,Research & Development,2600,18275,1097,98,80,Yes,Upto 5k,11,Travel_Rarely,15
RM777,Sales,2323,17205,769,54,80,Yes,Upto 5k,9,Travel_Frequently,14
RM857,Research & Development,3033,12828,805,87,80,No,Upto 5k,3,Travel_Rarely,12
RM877,Sales,2678,5050,654,43,80,No,Upto 5k,21,Travel_Rarely,17
RM1179,Sales,2783,13251,1141,31,80,No,Upto 5k,2,Travel_Rarely,19
RM1198,Sales,2728,21082,727,54,80,No,Upto 5k,9,Travel_Rarely,11
RM024,Research & Development,1232,19281,391,96,80,No,Upto 5k,15,Travel_Rarely,14
RM275,Research & Development,3230,10531,996,100,80,No,Upto 5k,3,Travel_Rarely,17
RM358,Sales,2174,9150,756,99,80,Yes,Upto 5k,1,Travel_Frequently,11
RM363,Sales,2610,2851,895,39,80,No,Upto 5k,9,Non-Travel,24
RM371,Sales,2716,25422,156,90,80,No,Upto 5k,12,Travel_Rarely,15
RM497,Sales,3447,24444,1343,49,80,No,Upto 5k,22,Travel_Rarely,11
RM664,Research & Development,2693,8870,1427,65,80,No,Upto 5k,18,Travel_Rarely,19
RM778,Research & Development,1416,17258,1334,36,80,No,Upto 5k,10,Travel_Rarely,13
RM816,Research & Development,2070,25326,984,70,80,Yes,Upto 5k,1,Travel_Rarely,11
RM916,Research & Development,2625,25308,251,45,80,No,Upto 5k,10,Travel_Frequently,20
RM1153,Research & Development,3117,26009,546,97,80,No,Upto 5k,5,Travel_Rarely,18
RM1272,Sales,2679,4567,337,31,80,No,Upto 5k,7,Travel_Rarely,13
RM1437,Sales,2380,25479,501,58,80,Yes,Upto 5k,5,Travel_Rarely,11
RM018,Research & Development,2935,7324,1123,96,80,Yes,Upto 5k,16,Non-Travel,13
RM110,Research & Development,2871,23785,534,59,80,No,Upto 5k,15,Travel_Rarely,15
RM129,Research & Development,2523,19299,594,100,80,No,Upto 5k,2,Travel_Rarely,14
RM161,Research & Development,2323,11992,1256,80,80,No,Upto 5k,19,Travel_Rarely,24
RM207,Research & Development,2328,12392,1136,60,80,Yes,Upto 5k,5,Travel_Rarely,16
RM384,Research & Development,2244,24440,253,43,80,No,Upto 5k,11,Travel_Rarely,13
RM444,Research & Development,3894,9129,1368,99,80,No,Upto 5k,4,Travel_Frequently,16
RM499,Research & Development,2773,12145,604,69,80,No,Upto 5k,6,Travel_Rarely,20
RM631,Research & Development,4775,19146,1230,33,80,No,Upto 5k,1,Travel_Rarely,22
RM667,Research & Development,4171,10022,617,34,80,Yes,Upto 5k,3,Travel_Rarely,19
RM735,Research & Development,2451,6881,217,94,80,No,Upto 5k,8,Travel_Rarely,15
RM861,Research & Development,2853,4223,1256,48,80,Yes,Upto 5k,3,Travel_Frequently,11
